,cluster_id,type,most_distant_id,most_distant_text,similar1id,similar1,similar2id,similar2,similar3id,similar3,similar4id,similar4,similar5id,similar5
0,4,1,88,Generate many ideas - user goals are evaluated,32,Generate a lot of ideas,3,Make multiple ideas,59,Initially Include as many ideas as possible ,62,Build on other ideas,97,Create as many ideas as possible (quantity)
0,9,1,16,include all wild ideas too,37,You should encourage wild ideas,26,Embrace wild ideas,7,Encourage wild ideas,9,Encourage wild ideas,39,Encourage wild ideas
0,6,1,13,Stay on topics,12,Stay focused on topic,44,Stay focused on topic,47,Stay focused on topic,30,Stay focused on the topic,52,Staying focused and on topic when discussing an idea
0,16,1,50,"defer judgement to others, let others participate in discussion",15,Defer judgement,25,Defer Judgement,27,Defer judgement,31,defer judgement,35,defer judgement 
0,5,1,94,We would need to include a variety of ideas,42,Come up with as many ideas as possible,53,Come up with as many ideas as possible,64,Come up with a large number of ideas,59,Initially Include as many ideas as possible ,105,Coming up with lots of ideas
0,2,1,61,be visual; this is to say that human centered design should focus primarily on visual elements,48,Being visual helps other understand your ideas or suggestions very quickly ,8,Be visual,11,Be visual ,23,be visual,29,Be visual
0,1,1,86,One rule for ideation in human-centered design is to defer judgement while you are brainstorming ideas to be able to have an open mind for any ideas that may arise and to not close off any potential solutions.,95,Building on others ideas,77,"""Its important to engage in brainstorming"", ",66,Brainstorming,68,build off of other ideas,62,build on others ideas
0,8,1.5,0,Radical ideas ,68,build off of other ideas,95,Building on others ideas,41,Diversity of ideas,104,Build on other ideas,64,Come up with a large number of ideas
0,0,1.5,1,No judgement,15,Defer judgement,25,Defer Judgement,27,Defer judgement,31,defer judgement,35,defer judgement 
0,3,1.5,4,Yes and,16,include all wild ideas too,21,Go for quantity ,38,Go for quantity,98,Go for quantity,10,one conversation at a time
0,9,1.5,16,include all wild ideas too,37,You should encourage wild ideas,26,Embrace wild ideas,7,Encourage wild ideas,9,Encourage wild ideas,39,Encourage wild ideas
0,5,1.5,61,be visual; this is to say that human centered design should focus primarily on visual elements,48,Being visual helps other understand your ideas or suggestions very quickly ,8,Be visual,11,Be visual ,23,be visual,29,Be visual
0,13,1.5,13,Stay on topics,12,Stay focused on topic,44,Stay focused on topic,47,Stay focused on topic,30,Stay focused on the topic,52,Staying focused and on topic when discussing an idea
0,1,1.5,67,No hate,24,"Dont hate, just come up with ideas dont worry about quality of them yet",1,No judgement,65,No such thing as a bad idea,14,dont judge the idea,43,"Defer judgement means coming up with ideas, not hating on any of them yet."
0,4,1.5,74,Consider fron the side of user,36,"Know thy users, for they are not you",20,"Know your users, they are not u",22,Users are not you,99,You are not the user,80,We must empathize with users 
0,6,1.5,82,Listen to customers,60,Know your target audience,33,"make sure you talk to the target audience first, and see what they want",80,We must empathize with users ,36,"Know thy users, for they are not you",107,conversations take place on at a time 
0,12,1.5,94,We would need to include a variety of ideas,42,Come up with as many ideas as possible,53,Come up with as many ideas as possible,64,Come up with a large number of ideas,59,Initially Include as many ideas as possible ,105,Coming up with lots of ideas
0,1,2,0,Radical ideas ,68,build off of other ideas,95,Building on others ideas,41,Diversity of ideas,104,Build on other ideas,64,Come up with a large number of ideas
0,3,2,1,No judgement,15,Defer judgement,25,Defer Judgement,27,Defer judgement,31,defer judgement,35,defer judgement 
0,0,2,4,Yes and,16,include all wild ideas too,21,Go for quantity ,38,Go for quantity,98,Go for quantity,10,one conversation at a time
0,9,2,16,include all wild ideas too,37,You should encourage wild ideas,26,Embrace wild ideas,7,Encourage wild ideas,9,Encourage wild ideas,39,Encourage wild ideas
0,5,2,61,be visual; this is to say that human centered design should focus primarily on visual elements,48,Being visual helps other understand your ideas or suggestions very quickly ,8,Be visual,11,Be visual ,23,be visual,29,Be visual
0,6,2,13,Stay on topics,12,Stay focused on topic,44,Stay focused on topic,47,Stay focused on topic,30,Stay focused on the topic,52,Staying focused and on topic when discussing an idea
0,8,2,67,No hate,24,"Dont hate, just come up with ideas dont worry about quality of them yet",1,No judgement,65,No such thing as a bad idea,14,dont judge the idea,43,"Defer judgement means coming up with ideas, not hating on any of them yet."
0,4,2,74,Consider fron the side of user,36,"Know thy users, for they are not you",20,"Know your users, they are not u",22,Users are not you,99,You are not the user,80,We must empathize with users 
0,1,2.5,67,No hate,24,"Dont hate, just come up with ideas dont worry about quality of them yet",1,No judgement,65,No such thing as a bad idea,14,dont judge the idea,43,"Defer judgement means coming up with ideas, not hating on any of them yet."
0,3,2.5,1,No judgement,15,Defer judgement,25,Defer Judgement,27,Defer judgement,31,defer judgement,35,defer judgement 
0,0,2.5,106,Cluster and select,109,clustering and selection process,5,social interaction ,21,Go for quantity ,38,Go for quantity,98,Go for quantity
0,4,2.5,16,include all wild ideas too,37,You should encourage wild ideas,26,Embrace wild ideas,7,Encourage wild ideas,9,Encourage wild ideas,39,Encourage wild ideas
0,5,2.5,61,be visual; this is to say that human centered design should focus primarily on visual elements,48,Being visual helps other understand your ideas or suggestions very quickly ,8,Be visual,11,Be visual ,23,be visual,29,Be visual
0,6,2.5,13,Stay on topics,12,Stay focused on topic,44,Stay focused on topic,47,Stay focused on topic,30,Stay focused on the topic,52,Staying focused and on topic when discussing an idea
0,0,3,67,No hate,24,"Dont hate, just come up with ideas dont worry about quality of them yet",1,No judgement,65,No such thing as a bad idea,14,dont judge the idea,43,"Defer judgement means coming up with ideas, not hating on any of them yet."
0,3,3,1,No judgement,15,Defer judgement,25,Defer Judgement,27,Defer judgement,31,defer judgement,35,defer judgement 
0,1,3,106,Cluster and select,109,clustering and selection process,5,social interaction ,21,Go for quantity ,38,Go for quantity,98,Go for quantity
0,2,3,61,be visual; this is to say that human centered design should focus primarily on visual elements,48,Being visual helps other understand your ideas or suggestions very quickly ,8,Be visual,11,Be visual ,23,be visual,29,Be visual
